name,mafe,best_L,best_mu,max_v_baryon,max_v_kernel,max_v_total,kernel_to_baryon_ratio,kernel_active,inner_overshoot,outer_decay
NGC6503,0.2256483397650615,200.0,10.0,92.76543426513673,254.641656688175,267.42774885931505,2.7450058171492318,True,True,True
UGC02259,0.226109859087446,200.0,10.0,49.12630081176758,105.17760219899786,111.21894372715361,2.1409632001806234,True,True,True
NGC2903,0.2270257288311388,200.0,10.0,192.07525634765625,332.1797167814006,373.48803918311296,1.7294248259658977,True,True,True
UGC00634,0.2284846658217836,200.0,10.0,82.9552001953125,110.44902138305754,130.96600221544625,1.3314297491056941,True,True,True
UGC12732,0.2331601960515045,200.0,10.0,90.41539001464845,52.709613843422154,100.26953394186025,0.582971702437854,True,True,True
UGC02885,0.2363545124523008,10.0,500.0,195.1844024658203,347.0633799730447,389.9258468102975,1.778130709157565,True,True,True
F571-V1,0.2403514316022082,30.0,500.0,50.50714492797852,80.11415458309872,90.4410433928884,1.5861944819359477,True,True,True
NGC7814,0.2422380413398556,200.0,10.0,164.74111938476562,490.2414065305776,502.46130521621177,2.9758290362564606,True,True,True
ESO079-G014,0.2440138034632494,50.0,300.0,100.0056381225586,136.61713777868528,160.87178592887065,1.3660943557128116,True,True,False
UGC05716,0.2458248587001094,200.0,10.0,66.88353729248047,122.79335363907317,133.1645964538313,1.8359279220251183,True,True,True
F568-V1,0.2480177173121489,200.0,10.0,66.75182342529297,122.88779025964604,135.26766233573375,1.8409652943365524,True,True,True
NGC3917,0.2537987600893271,200.0,300.0,98.50465393066406,153.3877308703027,174.48909151056705,1.5571622735537958,True,True,True
NGC3992,0.25782511617345,200.0,10.0,216.83845520019528,557.0984489723076,585.915261421053,2.5691865792807302,True,True,True
NGC0300,0.2585018408504099,50.0,200.0,61.780555725097656,117.64930856030539,124.79990455440364,1.9043096517908413,True,True,True
NGC4013,0.2636735311876423,50.0,200.0,142.90045166015625,407.73099885250525,424.9152742333748,2.8532519954672018,True,True,True
D564-8,0.269627026812121,200.0,10.0,19.624292373657223,18.215723812942976,26.766382683856197,0.9282232177398128,True,True,False
NGC5907,0.274881074739382,50.0,50.0,197.38140869140625,408.5570083575254,441.2495770957561,2.0698859688263713,True,True,True
NGC1003,0.2771892635760669,200.0,10.0,136.7834930419922,176.5242448888854,210.585990218867,1.2905376296735813,True,True,True
UGC04278,0.2785394435728637,200.0,10.0,50.34080505371094,52.2491622933232,68.83097669255486,1.0379087548873354,True,True,False
NGC6015,0.2786089442843312,200.0,10.0,149.4514617919922,306.54078125628786,335.47007974086205,2.0511059415593667,True,True,True
UGC06818,0.278785025077826,200.0,10.0,66.90675354003906,26.301147541702694,68.91057762011974,0.39310153534744857,True,True,True
ESO116-G012,0.2802706153206062,50.0,300.0,79.13382720947266,142.1733449965927,154.62935229127805,1.796619094641412,True,True,True
NGC5033,0.3041223152454712,200.0,10.0,155.12258911132812,368.071871312112,392.4511088638926,2.3727806080386835,True,True,True
NGC0289,0.304961786803741,10.0,200.0,152.8774871826172,294.15654868621687,323.68066227494097,1.9241325463103485,True,True,True
NGC7331,0.3083788244814239,120.0,10.0,214.41149902343753,361.18839446340553,404.7259509316799,1.6845570135392955,True,True,True
NGC6674,0.3100468969326129,50.0,200.0,214.6843414306641,615.1990211967741,641.3460574670672,2.865598008206215,True,True,True
UGC01230,0.3145404002054642,200.0,10.0,84.13688659667967,123.82821994550586,144.29221785132097,1.471747113000406,True,True,True
ESO563-G021,0.3247604429330792,80.0,500.0,243.47392272949216,501.5563564396352,543.992605157692,2.0600003105748677,True,True,True
NGC2976,0.3302315975360039,200.0,10.0,89.09477996826173,14.024726902459534,89.78103986460057,0.1574135646045208,True,False,False
F571-8,0.3378828780836943,200.0,10.0,63.66535568237305,135.2677375556252,143.7875700534034,2.1246678999246775,True,True,True
UGC00128,0.3466001157367692,200.0,10.0,79.39263916015625,199.5211358597964,210.6092926319025,2.5130936314802277,True,True,True
UGC07866,0.3537646921217202,30.0,10.0,38.24245071411133,0.0065184663981199265,38.24245071411133,0.00017045106357984103,False,False,False
NGC7793,0.3800702743372052,200.0,10.0,110.61428833007812,80.98021629559287,126.70265036749184,0.732095441901178,True,True,True
NGC5055,0.3874230471350579,200.0,10.0,224.88847351074216,507.2205400209296,538.2551700645782,2.255431468330463,True,True,True
UGC11820,0.3934988179687313,200.0,10.0,64.5044937133789,70.5810637534023,89.68258246255861,1.0942038250392943,True,True,True
NGC5585,0.4086936283378191,200.0,10.0,80.83764648437501,76.58069492319521,102.9985845178009,0.9473394916067649,True,True,True
F574-2,0.4130366460871391,10.0,10.0,48.040351867675774,0.003745314432308078,48.040351867675774,7.796184429756714e-05,False,False,False
UGC03546,0.4144164880138937,200.0,10.0,152.03746032714844,392.52786949892175,410.7844729492281,2.5817839146634993,True,True,True
NGC2366,0.4201181826280629,10.0,10.0,69.24508666992188,0.018727591261267666,69.24508666992188,0.00027045371970633124,False,False,True
NGC3521,0.429389005479236,200.0,10.0,195.30490112304688,295.42168355946916,330.27186592648553,1.5126178701134911,True,True,True
UGC07690,0.4365182454776616,50.0,10.0,97.0976104736328,0.013591044582426548,97.0976104736328,0.0001399730077406719,False,False,True
NGC4214,0.4691210019022944,200.0,10.0,124.457275390625,98.89366037787184,158.5554017936124,0.7945992716575346,True,True,True
UGC09133,0.4693503831234388,10.0,50.0,218.70883178710935,489.85833970727936,526.6781379073203,2.23977393004461,True,True,True
DDO161,0.477702276561209,200.0,10.0,70.93248748779297,80.41874273407073,96.82676527667482,1.1337363961458462,True,True,True
F583-1,0.4883106880090148,200.0,10.0,62.389324188232415,74.25541258963506,92.81871617821088,1.1901942128047729,True,True,True
UGC00191,0.4885025144909032,200.0,10.0,69.48661804199219,71.60854273199239,90.81845994847694,1.0305371703184327,True,True,True
NGC3726,0.5095256157004284,200.0,10.0,152.2358245849609,308.814730982407,335.2106309420124,2.0285286451091635,True,True,True
UGC06973,0.5520734745191659,10.0,10.0,317.1420288085937,0.07660311460494995,317.1420288085937,0.00024154198323295275,False,False,True
UGC11455,0.5714581500836684,120.0,10.0,236.6137237548828,394.05223928152026,443.7007817371286,1.665382011779393,True,True,True
UGC07559,0.5716147623072003,10.0,10.0,42.79205703735352,0.012588289566338062,42.79205703735352,0.0002941735087740616,False,False,False
UGC08699,0.6210304539857974,200.0,10.0,132.86924743652344,358.32921333908365,373.595217656281,2.6968558959459057,True,True,True
UGC04305,0.6356275657166615,10.0,10.0,57.059429168701165,0.010300220921635628,57.059429168701165,0.00018051741967453142,False,False,False
UGC06787,0.6672277201002081,200.0,10.0,131.35072326660156,440.66560967499817,454.1103100468682,3.3548776795129065,True,True,True
D631-7,0.7127935810120591,200.0,10.0,48.72516250610352,103.55165428555016,113.18243712208437,2.125219269870651,True,True,True
UGC05750,0.7317907478594484,200.0,10.0,44.03628540039063,90.58406386844032,96.36730347709837,2.057032355132224,True,True,True
UGC07232,0.731806622742158,50.0,10.0,69.69151306152344,0.011398762464523315,69.69151306152344,0.0001635602667208635,False,False,False
NGC3769,0.7589274772066368,200.0,10.0,102.16007232666016,242.8393755129696,257.68613170931474,2.3770478033383022,True,True,True
