Galaxy,Regime,mond_variant,sigma_baseline,n_inner_points,inner_region_defined,perturbation_label,delta_sigma,V_bar_over_V_MOND_inner_median,notes,max_abs_delta_sigma
NGC5033,baryon-dom,g_dag,0.059777,12,Y,gdag_p10,0.004386,0.8172,,0.031573
NGC5033,baryon-dom,g_dag,0.059777,12,Y,gdag_m10,-0.004402,0.8172,,0.031573
NGC5033,baryon-dom,g_dag,0.059777,12,Y,gdag_p20,0.00869,0.8172,,0.031573
NGC5033,baryon-dom,g_dag,0.059777,12,Y,gdag_m20,-0.008695,0.8172,,0.031573
NGC5033,baryon-dom,Ydisk,0.059777,12,Y,Ydisk_p10,0.01179,0.8172,,0.031573
NGC5033,baryon-dom,Ydisk,0.059777,12,Y,Ydisk_m10,-0.012394,0.8172,,0.031573
NGC5033,baryon-dom,Ydisk,0.059777,12,Y,Ydisk_p20,0.022945,0.8172,,0.031573
NGC5033,baryon-dom,Ydisk,0.059777,12,Y,Ydisk_m20,-0.025108,0.8172,,0.031573
NGC5033,baryon-dom,combined,0.059777,12,Y,both_p10,0.0162,0.8172,,0.031573
NGC5033,baryon-dom,combined,0.059777,12,Y,both_m10,-0.016511,0.8172,,0.031573
NGC5033,baryon-dom,combined,0.059777,12,Y,both_p20,0.031573,0.8172,,0.031573
NGC5033,baryon-dom,combined,0.059777,12,Y,both_m20,-0.030732,0.8172,,0.031573
NGC3953,baryon-dom,g_dag,0.002718,3,Y,gdag_p10,0.001776,0.8372,,0.047244
NGC3953,baryon-dom,g_dag,0.002718,3,Y,gdag_m10,0.004867,0.8372,,0.047244
NGC3953,baryon-dom,g_dag,0.002718,3,Y,gdag_p20,0.006516,0.8372,,0.047244
NGC3953,baryon-dom,g_dag,0.002718,3,Y,gdag_m20,0.010855,0.8372,,0.047244
NGC3953,baryon-dom,Ydisk,0.002718,3,Y,Ydisk_p10,0.011547,0.8372,,0.047244
NGC3953,baryon-dom,Ydisk,0.002718,3,Y,Ydisk_m10,0.0158,0.8372,,0.047244
NGC3953,baryon-dom,Ydisk,0.002718,3,Y,Ydisk_p20,0.025781,0.8372,,0.047244
NGC3953,baryon-dom,Ydisk,0.002718,3,Y,Ydisk_m20,0.034402,0.8372,,0.047244
NGC3953,baryon-dom,combined,0.002718,3,Y,both_p10,0.01666,0.8372,,0.047244
NGC3953,baryon-dom,combined,0.002718,3,Y,both_m10,0.021723,0.8372,,0.047244
NGC3953,baryon-dom,combined,0.002718,3,Y,both_p20,0.035487,0.8372,,0.047244
NGC3953,baryon-dom,combined,0.002718,3,Y,both_m20,0.047244,0.8372,,0.047244
NGC3521,baryon-dom,g_dag,0.024266,37,Y,gdag_p10,-0.002783,0.8974,,0.045619
NGC3521,baryon-dom,g_dag,0.024266,37,Y,gdag_m10,0.003333,0.8974,,0.045619
NGC3521,baryon-dom,g_dag,0.024266,37,Y,gdag_p20,-0.004942,0.8974,,0.045619
NGC3521,baryon-dom,g_dag,0.024266,37,Y,gdag_m20,0.007162,0.8974,,0.045619
NGC3521,baryon-dom,Ydisk,0.024266,37,Y,Ydisk_p10,-0.011334,0.8974,,0.045619
NGC3521,baryon-dom,Ydisk,0.024266,37,Y,Ydisk_m10,0.016857,0.8974,,0.045619
NGC3521,baryon-dom,Ydisk,0.024266,37,Y,Ydisk_p20,-0.007623,0.8974,,0.045619
